mode,clients,http_code,time_total,url_effective
adaptive,1,200,1.218288,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,5,200,2.361185,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,5,200,2.556527,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,5,200,2.581022,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,5,200,2.811972,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,5,200,4.053816,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
adaptive,10,200,4.513110,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.420724,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.636519,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.720678,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.738105,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.746030,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.769989,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.815865,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,5.859065,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.090475,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
