mode,clients,http_code,time_total,url_effective
adaptive,1,200,2.722976,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,5,200,2.766702,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,5,200,3.059509,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,5,200,3.297228,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,5,200,3.337262,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,5,200,3.513379,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.196973,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.210870,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.242081,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.255316,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.398372,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.784279,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.875739,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.944283,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,6.944393,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
adaptive,10,200,7.759489,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
