mode,clients,http_code,time_total,url_effective
random,1,200,1.244437,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,5,200,0.713505,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,5,200,1.608144,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,5,200,1.766964,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,5,200,4.978260,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,5,200,5.339824,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,10,200,2.802086,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,10,200,2.979131,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,10,200,3.118933,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,10,200,3.267562,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,10,200,4.040468,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,4.404870,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,5.704467,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,10,200,5.776521,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,10,200,6.739435,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,7.721278,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
