mode,clients,http_code,time_total,url_effective
random,1,200,18.255348,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,5,200,5.629238,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,5,200,7.412011,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,5,200,7.720949,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,5,200,26.642340,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,5,200,28.209689,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
random,10,200,4.787461,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,6.141273,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,6.311039,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,7.847613,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,8.265293,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,8.374111,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,8.970971,http://35.236.73.111/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=ncalifornia
random,10,200,9.432080,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,10,200,10.551141,http://34.130.216.13/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=toronto
random,10,200,39.449028,http://136.117.216.224/video/dash_content/clip1/360p_dashinit.mp4?_selector_server=oregon
